Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Cabo Verde,CPV,0.0538,0.2802,0.7908,0.8304,0.8881,0.7961,0.8379,0.6283,0.6479,0.6801,0.6508,0.6762
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Cambodia,KHM,0.4298,2.0014,8.5196,10.5961,11.828,12.3125,15.7108,18.6332,18.4826,18.3849,18.9162,19.4392
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Cameroon,CMR,4.7565,5.7263,9.1854,9.7014,9.8633,10.5484,10.2711,10.388,10.3491,10.4339,10.3329,10.2929
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Canada,CAN,440.5009,543.1076,574.3793,574.0983,591.893,612.5836,609.0758,548.4454,561.7344,575.8352,567.0969,577.9726
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Cayman Islands,CYM,0.1157,0.1321,0.2509,0.2632,0.281,0.3092,0.3935,0.3319,0.3141,0.3582,0.3594,0.372
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Central African Republic,CAF,0.1593,0.2564,0.2334,0.2515,0.2647,0.2935,0.3024,0.3184,0.3227,0.3225,0.3325,0.3374
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Chad,TCD,0.2354,0.2404,1.6134,1.6907,2.2104,2.4139,2.3645,2.4133,2.7311,2.865,2.9088,2.8928
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Chile,CHL,33.2212,53.8569,84.3798,88.8653,89.7525,89.8194,95.2476,87.5108,89.1084,90.4279,77.0074,77.8226
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,China,CHN,2414.2762,3647.8773,10749.8966,10773.7258,10999.4188,11527.5117,11813.0582,11964.1285,12551.8645,12518.6844,13021.242,13124.728
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Colombia,COL,53.2018,63.4164,86.2165,88.4935,80.9994,85.3965,86.0607,84.3026,92.1683,88.3446,92.7973,95.0793
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Comoros,COM,0.0393,0.0901,0.1712,0.2004,0.2607,0.2073,0.226,0.2687,0.3972,0.4298,0.4383,0.4463
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,"Congo, Dem. Rep.",COD,3.3705,1.8775,3.5927,2.9906,3.2547,4.1619,4.4459,4.6314,4.6277,6.2475,6.1404,6.2096
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,"Congo, Rep.",COG,2.3845,4.5119,5.7506,5.5904,5.5312,6.422,7.2394,7.403,7.108,8.3582,7.8674,8.4568
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Costa Rica,CRI,2.9164,5.1314,7.7578,8.2325,8.396,8.4405,8.193,7.1754,8.0531,8.1977,8.0978,8.3763
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Cote d'Ivoire,CIV,2.9721,6.9672,11.265,11.4035,12.33,12.3432,13.1832,13.2881,17.2006,18.4103,17.925,18.811
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Croatia,HRV,24.0236,19.378,18.0245,18.2746,18.7971,17.7661,17.9722,17.1915,17.5067,17.6346,18.6644,18.6796
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Cuba,CUB,38.665,28.9959,29.4411,27.3043,26.5091,26.7819,22.292,18.4817,21.7552,19.7637,20.0277,21.0042
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Cyprus,CYP,4.6392,7.1329,6.8562,7.2219,7.3632,7.214,7.2168,6.8024,6.9192,7.2231,7.2032,7.3411
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Czechia,CZE,165.4996,132.3167,108.2916,109.8148,110.3808,109.3448,103.7793,94.8596,99.5152,97.6888,85.6093,77.7492
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Denmark,DNK,52.4314,53.1494,34.0712,35.6784,33.5457,33.5379,30.0794,27.7879,29.5641,28.4942,26.2104,25.5708
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Djibouti,DJI,0.9747,0.7336,0.8163,0.7455,0.6766,0.7356,0.8336,0.7459,0.8197,0.8668,0.88,0.8947
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Dominica,DMA,0.0213,0.0542,0.0724,0.0777,0.0692,0.0715,0.0862,0.0771,0.0764,0.0812,0.0814,0.0843
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Dominican Republic,DOM,8.0187,19.0138,23.8738,24.8714,23.7887,25.6286,28.4615,26.926,29.6681,32.1128,32.7889,34.2225
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Ecuador,ECU,17.5569,22.0624,43.2759,42.0681,41.0581,42.2145,41.9254,36.5986,41.1607,44.1693,46.7901,47.9638
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,"Egypt, Arab Rep.",EGY,91.5122,127.9157,239.4139,250.123,261.7067,256.219,237.0298,246.184,261.6313,258.9936,275.8365,291.6386
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,El Salvador,SLV,2.5946,5.7988,7.2649,7.3283,6.6321,7.1022,8.1068,6.6535,7.532,8.4658,9.2365,9.5434
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Equatorial Guinea,GNQ,0.0711,2.7446,5.4069,5.3893,4.887,5.3152,5.1224,4.9101,5.0308,5.0888,4.7651,4.8269
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Eritrea,ERI,0.3292,0.6703,0.5776,0.5972,0.5861,0.6551,0.6736,0.6715,0.7119,0.7499,0.7642,0.778
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Estonia,EST,40.0401,17.8215,21.0222,20.5878,21.9647,23.6488,15.4629,12.1329,12.9256,15.0182,11.4741,10.6485
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Eswatini,SWZ,1.1058,1.0976,0.9809,1.0469,1.0618,1.0621,1.1361,0.9606,0.9892,1.0765,1.0784,1.0941
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Ethiopia,ETH,2.1875,3.8766,13.5098,16.0312,15.8736,17.4696,18.4825,18.0158,19.0941,18.3349,19.0165,19.3648
